,ac,dc_norm,dc
BP_Solar_SX55_2003_E_,1090.7999755753194,1236.7048692064527,69186.21720288579
BP_Solar_SX60_2003_E_,1097.7274893532535,1236.7048692064527,73964.84481749953
BP_Solar_SX70_2003_E_,1113.26356000518,1237.660392998262,86475.33165878856
BP_Solar_SX75_2003_E_,1120.8548406682557,1239.052296696139,93244.88058786794
Canadian_Solar_CS5P_220M__2009_,1169.965765169773,1234.2939887153723,271120.9803386341
Entech_22X_Concentrator__1994_,0.0,,
EPV_40__1998_,1060.5047458210663,1243.7847706626467,50149.401953117915
Evergreen_ES_180_2008_E_,1183.0597963603154,1254.4076228327233,225799.64414800436
Evergreen_ES_180_RL_T_Module__2008_,1183.3051453001428,1254.4310843229212,227356.93079066646
Evergreen_ES_180_RL_T_Module_2008_E_,1183.1567735399447,1254.515482562482,225819.05943865958
Evergreen_ES_190_2008_E_,1185.2684555601952,1254.874939337673,238556.745467849
Evergreen_ES_195_2008_E_,1186.0889929825992,1254.894546572661,244855.02392725766
First_Solar_FS_265_2007_E_,1150.9955665275827,1285.8404532465527,83546.19760924151
First_Solar_FS_267_2007_E_,1155.3885586263848,1286.281004228574,87248.44051682416
First_Solar_FS_270_2007_E_,1157.1859281074735,1285.7187406513808,89722.59659761594
First_Solar_FS_272__2009_,1151.74511248928,1278.5932058800252,91119.71197296353
First_Solar_FS_272_2007_E_,1161.0533363849393,1286.0927552917994,93438.4969502151
First_Solar_FS_275_2007_E_,1164.2661109414844,1286.7707970788776,96446.04478265604
First_Solar_FS_45__2003_,1133.7332029211277,1308.0246274249514,58861.108234122825
First_Solar_FS_45_2003_E_,1186.000972908021,1367.5403700535842,61539.31665241129
First_Solar_FS_50__2000_,1199.2653518244663,1380.0415538758136,62524.659454857014
First_Solar_FS_50_2001_E_,1199.604159316895,1367.9818320629738,68467.49069475185
First_Solar_FS_50_2004_E_,1200.9401834265796,1367.3428149335698,68996.11844154794
First_Solar_FS_55_2003_E_,1210.0995642359908,1367.9818320629738,74691.80803063836
First_Solar_FS_55_2004_E_,1210.6142558445176,1366.5960977282232,75436.10459459793
Kyocera_Solar_KC120_1__1998_,1155.9545119414245,1250.0561789710891,135142.64846699205
Kyocera_Solar_KC120_1_1999_E_,1165.5647015313984,1254.040715819333,150472.34549116174
Kyocera_Solar_KC125G_2003_E_,1150.3750115255555,1235.5544094273002,154790.25641305218
Kyocera_Solar_KC130TM_2008_E_,1163.756240180132,1247.4937822655884,162254.0312965915
Kyocera_Solar_KC150__2002_,1167.1853634611123,1248.6617824580028,172995.97151682223
Kyocera_Solar_KC150_2002_E_,1171.2273001600433,1249.2887733892396,187487.01266639007
Kyocera_Solar_KC158G_2003_E_,1175.4736926721353,1251.5101248804197,198018.9379990795
Kyocera_Solar_KC167G_2003_E_,1171.25381990063,1244.6307693179006,207903.1237068621
Kyocera_Solar_KC35_2003_E_,1034.599875047235,1242.110502764112,43411.76207160571
Kyocera_Solar_KC40_2003_E_,1052.9332980499532,1242.2059789796754,49124.27764473023
Kyocera_Solar_KC40T_2008_E_,1069.1095149836583,1246.5588852530504,53791.509016439624
Kyocera_Solar_KC45_2003_E_,1070.586465272502,1242.110502764112,55894.972624385045
Kyocera_Solar_KC50_2003_E_,1082.7213630518647,1241.1688956609878,62182.56167261548
Kyocera_Solar_KC50T_2008_E_,1096.5854748455824,1246.5588852530504,67456.28751658354
Kyocera_Solar_KC60_1999_E_,1103.3490211807523,1242.2059789796754,74526.1477088856
Kyocera_Solar_KC60_2003_E_,1103.3490211807523,1242.2059789796754,74526.1477088856
Kyocera_Solar_KC65T_2008_E_,1115.6781586964692,1246.5588852530502,81337.96726276154
